Location,Site Name,Site Description,Latitude and Longitude(Deg Min Sec),Latitude and Longitude(Decimal),Link to site location,Picture Location,Copyright
UK,Blaenavon Industrial Landscape (2000),"The area around Blaenavon is evidence of the pre-eminence of South Wales as the world's major producer of iron and coal in the 19th century. All the necessary elements can still be seen - coal and ore mines, quarries, a primitive railway system, furnaces, workers' homes, and the social infrastructure of their community.","N51 46 35, W3 5 17","51.776389, -3.088056",http://whc.unesco.org/en/list/984,UK1.jpg,&copy; ejbaurdo
UK,Blenheim Palace (1987),"Blenheim Palace, near Oxford, stands in a romantic park created by the famous landscape gardener 'Capability' Brown. It was presented by the English nation to John Churchill, first Duke of Marlborough, in recognition of his victory in 1704 over French and Bavarian troops. Built between 1705 and 1722 and characterized by an eclectic style and a return to national roots, it is a perfect example of an 18th-century princely dwelling.","N51 50 31, W1 21 41","51.841944, -1.361389",http://whc.unesco.org/en/list/425,UK2.jpg,&copy; Vincent Ko Hon Chiu
UK,"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church (1988)","Canterbury, in Kent, has been the seat of the spiritual head of the Church of England for nearly five centuries. Canterbury's other important monuments are the modest Church of St Martin, the oldest church in England; the ruins of the Abbey of St Augustine, a reminder of the saint's evangelizing role in the Heptarchy from 597; and Christ Church Cathedral, a breathtaking mixture of Romanesque and Perpendicular Gothic, where Archbishop Thomas Becket was murdered in 1170.","N51 16 48, E1 4 60","51.28, 1.083333",http://whc.unesco.org/en/list/496,UK3.jpg,&copy; Vincent Ko Hon Chiu
UK,Castles and Town Walls of King Edward in Gwynedd (1986),"The castles of Beaumaris and Harlech (largely the work of the greatest military engineer of the time, James of St George) and the fortified complexes of Caernarfon and Conwy are located in the former principality of Gwynedd, in north Wales. These extremely well-preserved monuments are examples of the colonization and defence works carried out throughout the reign of Edward I (1272&ntilde;1307) and the military architecture of the time.","N 53 8 23, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; &dagger;W 4 16 37","53.139722, -4.276944",http://whc.unesco.org/en/list/374,UK4.jpg,&copy; Vincent Ko Hon Chiu
UK,City of Bath (1987),"Founded by the Romans as a thermal spa, Bath became an important centre of the wool industry in the Middle Ages. In the 18th century, under George III, it developed into an elegant town with neoclassical Palladian buildings, which blend harmoniously with the Roman baths.","N 51 22 53, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger;W 2 21 31","51.381389, -2.358611",http://whc.unesco.org/en/list/428,UK5.jpg,&copy; Bath Tourism Plus
UK,Cornwall and West Devon Mining Landscape (2006),Much of the landscape of Cornwall and West Devon was transformed in the 18th and early 19th centuries as a result of the rapid growth of pioneering copper and tin mining.Cornwall and West Devon were the heartland from which mining technology rapidly spread.,"N 50 8 10, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; W 5 23 1","50.136111, &dagger; &dagger;-5.383611",http://whc.unesco.org/en/list/1215,UK6.jpg,non &copy; UNESCO
UK,Derwent Valley Mills (2001),"The Derwent Valley in central England contains a series of 18th- and 19th- century cotton mills and an industrial landscape of high historical and technological interest. The modern factory owes its origins to the mills at Cromford, where Richard Arkwright's inventions were first put into industrial-scale production. The workers' housing associated with this and the other mills remains intact and illustrate the socio-economic development of the area.","N 53 1 44, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; &dagger;W 1 29 17","53.028889, -1.488056",http://whc.unesco.org/en/list/1030/,UK7.jpg,non &copy; UNESCO
UK,Durham Castle and Cathedral (1986),"Durham Cathedral was built in the late 11th and early 12th centuries to house the relics of St Cuthbert (evangelizer of Northumbria) and the Venerable Bede. It attests to the importance of the early Benedictine monastic community and is the largest and finest example of Norman architecture in England. The innovative audacity of its vaulting foreshadowed Gothic architecture. Behind the cathedral stands the castle, an ancient Norman fortress which was the residence of the prince-bishops of Durham.","N 54 46 29, &dagger; &dagger; &dagger; &dagger; &dagger; W 1 34 34","54.774722, -1.576111",http://whc.unesco.org/en/list/370,UK8.jpg,&copy; Valerio Li Vigni
UK,Frontiers of the Roman Empire (1987),The &euml;Roman Limes&iacute; represents the border line of the Roman Empire at its greatest extent in the 2nd century AD.The 118-km-long Hadrian&iacute;s Wall (UK) was built on the orders of the Emperor Hadrian c. AD 122 at the northernmost limits of the Roman province of Britannia.,"N 54 59 33.4, &dagger; &dagger; &dagger; &dagger;W 2 36 3.6","54.992611, &dagger;-2.601",http://whc.unesco.org/en/list/430,UK9.jpg,&copy; Judith Herrmann
UK,Gorham's Cave Complex (2016),"The steep limestone cliffs on the eastern side of the Rock of Gibraltar contain four caves with archaeological and paleontological deposits that provide evidence of Neanderthal occupation over a span of more than 100,000 years. This exceptional testimony to the cultural traditions of the Neanderthals is seen notably in evidence of the hunting of birds and marine animals for food, the use of feathers for ornamentation and the presence of abstract rock engravings.","N 36 7 21.61, &dagger; &dagger; &dagger; &dagger;W 5 20 31.42","36.122669, -5.342061",http://whc.unesco.org/en/list/1500,UK10.jpg,"&copy; Clive Finlayson, Gibraltar Museum"
UK,Heart of Neolithic Orkney (1999),"The group of Neolithic monuments on Orkney consists of a large chambered tomb (Maes Howe), two ceremonial stone circles (the Stones of Stenness and the Ring of Brodgar) and a settlement (Skara Brae), together with a number of unexcavated burial, ceremonial and settlement sites. The group constitutes a major prehistoric cultural landscape which gives a graphic depiction of life in this remote archipelago in the far north of Scotland some 5,000 years ago.","N 58 59 45.8, &dagger; &dagger; &dagger; &dagger; W 3 11 19.2","58.996056, -3.188667",http://whc.unesco.org/en/list/514,UK11.jpg,&copy; Sacred sites
UK,"Historic Town of St George and Related Fortifications, Bermuda (2000)","The Town of St George, founded in 1612, is an outstanding example of the earliest English urban settlement in the New World. Its associated fortifications graphically illustrate the development of English military engineering from the 17th to the 20th century, being adapted to take account of the development of artillery over this period.","N 32 22 46, &dagger; &dagger; &dagger; &dagger; &dagger; W 64 40 40","32.379444,64.677778",http://whc.unesco.org/en/list/983,UK12.jpg,&copy; dbking
UK,Ironbridge Gorge (1986),"Ironbridge is known throughout the world as the symbol of the Industrial Revolution. It contains all the elements of progress that contributed to the rapid development of this industrial region in the 18th century, from the mines themselves to the railway lines. The bridge at Ironbridge, the world's first bridge constructed of iron, had a considerable influence on developments in the fields of technology and architecture.","N 52 37 35, &dagger; &dagger; &dagger; &dagger; &dagger; W 2 28 22","52.626389,2.472778",http://whc.unesco.org/en/list/371,UK13.jpg,&copy; Vincent Ko Hon Chiu
UK,Liverpool &ntilde; Maritime Mercantile City (2004),"Six areas in the historic centre and docklands of the maritime mercantile City of Liverpool bear witness to the development of one of the world&iacute;s major trading centres in the 18th and 19th centuries. Liverpool played an important role in the growth of the British Empire and became the major port for the mass movement of people. The listed sites feature a great number of significant commercial, civic and public buildings, including St George&iacute;s Plateau.","N 53 24 24, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger;W 2 59 40","53.406667,2.994444",http://whc.unesco.org/en/list/1150,UK14.jpg,&copy; OUR PLACE The World
UK,Maritime Greenwich (1997),"The ensemble of buildings at Greenwich, an outlying district of London, and the park in which they are set, symbolize English artistic and scientific endeavour in the 17th and 18th centuries. The Queen's House (by Inigo Jones) was the first Palladian building in England, while the complex that was until recently the Royal Naval College was designed by Christopher Wren. The park, laid out on the basis of an original design by Andr&Egrave; Le N&Ugrave;tre, contains the Old Royal Observatory, the work of Wren and the scientist Robert Hooke.","N 51 28 57.2766, &dagger;W 0 0 27.5724","51.482577,0.007659",http://whc.unesco.org/en/list/795,UK15.jpg,&copy; Vincent Ko Hon Chiu
UK,New Lanark (2001),"New Lanark is a small 18th- century village set in a sublime Scottish landscape where the philanthropist and Utopian idealist Robert Owen moulded a model industrial community in the early 19th century. The imposing cotton mill buildings, the spacious and well-designed workers' housing, and the dignified educational institute and school still testify to Owen's humanism.","N 55 39 48, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger;W 3 46 59","55.663333,3.783056",http://whc.unesco.org/en/list/429,UK16.jpg,New Lanark &copy; RCAHMS
UK,Old and New Towns of Edinburgh (1995),"Edinburgh has been the Scottish capital since the 15th century. It has two distinct areas: the Old Town, dominated by a medieval fortress; and the neoclassical New Town, whose development from the 18th century onwards had a far-reaching influence on European urban planning. The harmonious juxtaposition of these two contrasting historic areas, each with many important buildings, is what gives the city its unique character.","N 55 57 0, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; W 3 13 0","55.95, &dagger; &dagger;-3.216667",http://whc.unesco.org/en/list/728,UK17.jpg,Old and New Towns of Edinburgh (United Kingdom of Great Britain and Northern Ireland) &copy; Valerio Li Vigni
UK,Palace of Westminster and Westminster Abbey including Saint Margaret&iacute;s Church (1987),"Westminster Palace, rebuilt from the year 1840 on the site of important medieval remains, is a fine example of neo-Gothic architecture. The site &ntilde; which also comprises the small medieval Church of Saint Margaret, built in Perpendicular Gothic style, and Westminster Abbey, where all the sovereigns since the 11th century have been crowned &ntilde; is of great historic and symbolic significance.","N51 29 59.3592, &dagger; W0 7 36.0978","51.499822, -0.126694",http://whc.unesco.org/en/list/426,UK18.jpg,Palace of Westminster and Westminster Abbey including Saint Margaret&iacute;s Church (United Kingdom of Great Britain and Northern Ireland) &copy; Tim Schnarr
UK,Pontcysyllte Aqueduct and Canal (2009),"Situated in north-eastern Wales, the 18 kilometre long Pontcysyllte Aqueduct and Canal is a feat of civil engineering of the Industrial Revolution, completed in the early years of the 19th century.The property is inscribed as a masterpiece of creative genius, and as a remarkable synthesis of expertise already acquired in Europe. It is also recognized as an innovative ensemble that inspired many projects all over the world.","N 52 58 13, &dagger; &dagger; &dagger; &dagger; &dagger; W 3 5 16","52.970278, -3.087778",http://whc.unesco.org/en/list/1303,UK19.jpg,Pontcysyllte Aqueduct and Canal &copy; Crown Copyright
UK,"Royal Botanic Gardens, Kew (2003)","This historic landscape garden features elements that illustrate significant periods of the art of gardens from the 18th to the 20th centuries. The gardens house botanic collections (conserved plants, living plants and documents) that have been considerably enriched through the centuries. Since their creation in 1759, the gardens have made a significant and uninterrupted contribution to the study of plant diversity and economic botany.","N 51 28 55, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger;E 0 17 38.5","51.481944, &dagger; &dagger; &dagger;0.294028",http://whc.unesco.org/en/list/1084,UK20.jpg,"Royal Botanic Gardens, Kew (United Kingdom of Great Britain and Northern Ireland) &copy; OUR PLACE The World Heritage Collection"
UK,Saltaire (2001),"Saltaire, West Yorkshire, is a complete and well-preserved industrial village of the second half of the 19th century. Its textile mills, public buildings and workers' housing are built in a harmonious style of high architectural standards and the urban plan survives intact, giving a vivid impression of Victorian philanthropic paternalism.","N 53 50 21, &dagger; &dagger; &dagger; &dagger; &dagger; W 1 47 18","53.839167, &dagger; -1.788333",http://whc.unesco.org/en/list/1028,UK21.jpg,Saltaire &copy; UNESCO
UK,"Stonehenge, Avebury and Associated Sites (1986)","Stonehenge and Avebury, in Wiltshire, are among the most famous groups of megaliths in the world. The two sanctuaries consist of circles of menhirs arranged in a pattern whose astronomical significance is still being explored. These holy places and the nearby Neolithic sites are an incomparable testimony to prehistoric times.","N 51 10 44, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; W 1 49 31","51.178889, &dagger;-1.825278",http://whc.unesco.org/en/list/373,UK22.jpg,"Stonehenge, Avebury and Associated Sites (United Kingdom of Great Britain and Northern Ireland) &copy; UNESCO"
UK,Studley Royal Park including the Ruins of Fountains Abbey (1986),"A striking landscape was created around the ruins of the Cistercian Fountains Abbey and Fountains Hall Castle, in Yorkshire. The 18th-century landscaping, gardens and canal, the 19th-century plantations and vistas, and the neo-Gothic castle of Studley Royal Park, make this an outstanding site.","N 54 6 58, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; W 1 34 23","54.116111, &dagger; &dagger;-1.573056",http://whc.unesco.org/en/list/372,UK23.jpg,Studley Royal Park including the Ruins of Fountains Abbey (United Kingdom of Great Britain and Northern Ireland) &copy; Valerio Li Vigni
UK,The Forth Bridge (2015),"This railway bridge, crossing the Forth estuary in Scotland, had the world&iacute;s longest spans (541 m) when it opened in 1890. It remains one of the greatest cantilever trussed bridges and continues to carry passengers and freight. Innovative in style, materials and scale, the Forth Bridge marks an important milestone in bridge design and construction during the period when railways came to dominate long-distance land travel.","N 56 0 4, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; W 3 23 20","56.001111, &dagger;-3.388889",http://whc.unesco.org/en/list/1485,UK24.jpg,Forth Bridge from South Queensferry &copy; Historic Scotland
UK,Tower of London (1988),"The massive White Tower is a typical example of Norman military architecture, whose influence was felt throughout the kingdom. It was built on the Thames by William the Conqueror to protect London and assert his power. The Tower of London &ntilde; an imposing fortress with many layers of history, which has become one of the symbols of royalty &ntilde; was built around the White Tower.","N 51 30 29.2026, &dagger; W 0 4 33.4164","51.508112, -0.075949",http://whc.unesco.org/en/list/488,UK25.jpg,Tower of London (United Kingdom of Great Britain and Northern Ireland) &copy; OUR PLACE The World Heritage Collection
UK,Dorset and East Devon Coast (2001),"The cliff exposures along the Dorset and East Devon coast provide an almost continuous sequence of rock formations spanning the Mesozoic Era, or some 185 million years of the earth's history. The area's important fossil sites and classic coastal geomorphologic features have contributed to the study of earth sciences for over 300 years.","N 50 42 20, &dagger; &dagger; &dagger; &dagger; &dagger; W 2 59 23.6","50.705556, -2.989889",http://whc.unesco.org/en/list/1029,UK26.jpg,Dorset and East Devon Coast (United Kingdom of Great Britain and Northern Ireland) &copy; UNESCO
UK,Giant's Causeway and Causeway Coast (1986),"The Giant's Causeway lies at the foot of the basalt cliffs along the sea coast on the edge of the Antrim plateau in Northern Ireland. It is made up of some 40,000 massive black basalt columns sticking out of the sea.Geological studies of these formations over the last 300 years have greatly contributed to the development of the earth sciences, and show that this striking landscape was caused by volcanic activity during the Tertiary, some 50&ntilde;60 million years ago.","N 55 15 0, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; &dagger;W 6 29 7","55.25, &dagger; &dagger; &dagger; &dagger; -6.485278",http://whc.unesco.org/en/list/369,UK27.jpg,Giant's Causeway and Causeway Coast &copy; Stefano Berti
