Location,Site Name,Site Description,Latitude and Longitude(Deg Min Sec),Latitude and Longitude(Decimal),Link to site location,Picture Location,Copyright
USA,Independence Hall (1979),"The Declaration of Independence was adopted and the Constitution of the United States of America framed in this fine early 18th-century building in Philadelphia. These events were conceived in a national context, but the universal principles of freedom and democracy set forth in these two documents have had a profound impact on lawmakers and political thinkers around the world. ","N39 56 55,                  W75 9 0","39.948611,           -75.15",http://whc.unesco.org/en/list/78,USA7.jpg,Independence Hall © OUR PLACE The World Heritage Collection
USA,La Fortaleza and San Juan National Historic Site in Puerto Rico (1983),"The main elements of the massive fortification of San Juan are La Fortaleza, the three forts of San Felipe del Morro, San Cristóbal and San Juan de la Cruz (El Cañuelo), and a large portion of the City Wall, built between the 16th and 19th centuries to protect the city and the Bay of San Juan. ","N18 27 50.7816, W66 7 9.228","18.464106,     -66.11923",http://whc.unesco.org/en/list/266,USA8.jpg,La Fortaleza and San Juan National Historic Site in Puerto Rico © Ulises Jorge
USA,Mesa Verde National Park (1978),"The Mesa Verde landscape is a remarkably well-preserved prehistoric settlement landscape of the Ancestral Puebloan culture, which lasted for almost nine hundred years from c. 450 to 1300. This plateau in southwest Colorado, which sits at an altitude of more than 2,600 meters, contains a great concentration of spectacular Pueblo Indian dwellings, including the well-known cliff dwellings. ","N37 15 42,        W108 29 8","37.261667, -108.485556",http://whc.unesco.org/en/list/27/,USA9.jpg, © Vincent Angillis
USA,Monticello and the University of Virginia in Charlottesville (1987),"Monticello was the plantation home of Thomas Jefferson (1743–1826), author of the American Declaration of Independence and third President of the United States.The buildings are excellent and highly personalized examples of Neoclassicism, shown in their relationship to the natural setting and their blending of functionalism and symbolism. ","N38 1 58,             W78 30 14","38.032778,     -78.503889",http://whc.unesco.org/en/list/442,USA10.jpg,Monticello and the University of Virginia in Charlottesville (United States of America) © UNESCO
USA,Monumental Earthworks of Poverty Point (2014),"The Monumental Earthworks of Poverty Point is a publicly-owned and managed archaeological park in the parish of West Carroll, State of Louisiana, United States of America. The site is located on the eastern edge of an elevated landform, Macon Ridge, in the Lower Mississippi Valley. ","N32 38 13,           W91 24 23","32.636944,  -91.406389",http://whc.unesco.org/en/list/1435/,USA11.jpg,Monumental Earthworks of Poverty Point © Susan Guice
USA,San Antonio Missions (2015),"The San Antonio Missions are a group of five frontier mission complexes situated along a 12.4-kilometer (7.7-mile) stretch of the San Antonio River basin in southern Texas. The complexes were built in the early eighteenth century and as a group they illustrate the Spanish Crown’s efforts to colonize, evangelize and defend the northern frontier of New Spain.","N29 19 41 ,         W98 27 36","29.328056,           -98.46",http://whc.unesco.org/en/list/1466,USA12.jpg,Mission Concepción church exterior © National Park Service
USA,Statue of Liberty,"Made in Paris by the French sculptor Bartholdi, in collaboration with Gustave Eiffel (who was responsible for the steel framework), this towering monument to liberty was a gift from France on the centenary of American independence. Inaugurated in 1886, the sculpture stands at the entrance to New York Harbour and has welcomed millions of immigrants to the United States ever since.","N40 41 22,           W74 2 41","40.689444,  -74.044722",http://whc.unesco.org/en/list/307,USA13.jpg,Statue of Liberty (United States of America) © Laïa Caballé
USA,Taos Pueblo (1992),"This Pueblo Indian settlement in northern New Mexico, consisting of ceremonial buildings and facilities, and multi-storey adobe dwellings built in terraced tiers, exemplifies the living culture of a group of present-day Pueblo Indian people at Taos Pueblo. Taos Pueblo and the people of the Pueblo itself claim an aboriginal presence in the Taos Valley since time immemorial.","N36 26 20.004, W105 32 30.012","36.43889,     -105.54167",http://whc.unesco.org/en/list/492/,USA14.jpg,Pueblo de Taos © Edmondo Gnerre
USA,Carlsbad Caverns National Park (1995),"The more than 100 limestone caves within Carlsbad Caverns National Park are outstanding and notable world-wide because of their size, mode of origin, and the abundance, diversity and beauty of the speleothems (decorative rock formations) within.","N32 10 0 ,        W104 22 60","32.166667, -104.383333 ",http://whc.unesco.org/en/list/721,USA15.jpg,Carlsbad Caverns National Park (United States of America) © Evergreen
USA,Everglades National Park (1979),"Everglades National Park is the largest designated sub-tropical wilderness reserve on the North American continent. It contains the largest mangrove ecosystem in the Western Hemisphere, the largest continuous stand of sawgrass prairie and the most significant breeding ground for wading birds in North America.","N25 33 16,          W80 59 47","25.554444,  -80.996389 ",http://whc.unesco.org/en/list/76/,USA16.jpg,Everglades National Park (United States of America) © UNESCO
USA,Grand Canyon National Park (1979),The Grand Canyon twists and turns 445 km (276.5 miles) and was formed during 6 million years of geologic activity and erosion by the Colorado River on the upraised earth’s crust. Horizontal strata exposed in the canyon retrace geological history over 2 billion years and represent the four major geologic eras.,"N36 6 3,           W112 5 26","36.100833, -112.090556",http://whc.unesco.org/en/list/75,USA17.jpg,Grand Canyon National Park (United States of America) © Evergreen
USA,Great Smoky Mountains National Park (1983),"The Great Smoky Mountains National Park is a major North American refuge of temperate zone flora and fauna that survived the Pleistocene glaciations. The park is of exceptional natural beauty with undisturbed, virgin forest including the largest block of virgin red spruce remaining on earth.","N35 35 35,          W83 26 8","35.593056,  -83.435556 ",http://whc.unesco.org/en/list/259,USA18.jpg,Great Smoky Mountains National Park © LostBob
USA,Hawaii Volcanoes National Park (1987),"Hawaii Volcanoes National Park contains Mauna Loa and Kilauea, two of the world’s most active and accessible volcanoes where ongoing geological processes are easily observed. Through the process of shield-building volcanism, the park's landscape is one of relatively constant, dynamic change.
","N19 24 3 ,        W155 7 25","19.400833, -155.123611",http://whc.unesco.org/en/list/409,USA19.jpg,Hawaii Volcanoes National Park © OUR PLACE The World Heritage Collection
USA,Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek (1979),"The Kluane/Wrangell-St. Elias/Glacier Bay/Tatshenshini-Alsek national parks and protected areas along the boundary of Canada and the United States of America are the largest non-polar icefield in the world and contain examples of some of the world’s longest and most spectacular glaciers. The parks demonstrate some of the best examples of glaciation and modification of landscape by glacial action in a region still tectonically active, spectacularly beautiful, and where natural processes prevail.","N61 11 51.3 ,    W140 59 31.1","61.197583, -140.991972",http://whc.unesco.org/en/list/72,USA20.jpg,"Kluane / Wrangell-St. Elias / Glacier Bay / Tatshenshini-Alsek (Canada, United States of America) © Evergreen"
USA,Mammoth Cave National Park (1981),"Mammoth Cave is the most extensive cave system in the world, with over 285 miles (456 km) of surveyed cave passageways within the property. The park illustrates a number of stages of the Earth's evolutionary history and contains ongoing geological processes and unique wildlife. It is renowned for its size and vast network of extremely large horizontal passages and vertical shafts.","N37 11 14,          W86 6 11","37.187222,  -86.103056",http://whc.unesco.org/en/list/150,USA21.jpg,Mammoth Cave National Park
USA,Olympic National Park (1981),"Olympic National Park features spectacular coastline, scenic lakes, majestic mountains and glaciers, and magnificent temperate rainforest. It is the lowest latitude in the world in which glaciers form at relatively low elevation. The biological evolution, ecological variety and sheer splendor of Olympic National Park make it a special place.","N47 44 54,        W123 26 56","47.748333, -123.448889 ",http://whc.unesco.org/en/list/151,USA22.jpg,Olympic National Park © Brian Michelsen
USA,Redwood National and State Parks (1980),Redwood National Park comprises a region of coastal mountains bordering the Pacific Ocean north of San Francisco. The park contains some of the tallest and oldest known trees in the world. ,"N41 22 26,         W123 59 53","41.373889,  -123.998056",http://whc.unesco.org/en/list/134,USA23.jpg, © OUR PLACE The World Heritage Collection
USA,Waterton Glacier International Peace Park (1995),"Waterton-Glacier International Peace Park has a distinctive climate, physiographic setting, mountain-prairie interface and tri-ocean hydrographical divide.  It is an area of significant scenic values with abundant and diverse flora and fauna.
","N48 59 45.8,       W113 54 15","48.996056, -113.904167 ",http://whc.unesco.org/en/list/354,USA24.jpg,© Vincent Ko Hon Chiu
USA,Yellowstone National Park (1978),"As the site of one of the few remaining intact large ecosystems in the northern temperate zone of earth, Yellowstone’s ecological communities provide unparalleled opportunities for conservation, study, and enjoyment of large-scale wildland ecosystem processes.","N44 27 38.016 ,  W110 49 40.008","44.46056,  -110.82778",http://whc.unesco.org/en/list/28,USA25.jpg,Yellowstone National Park (United States of America) © OUR PLACE The World Heritage Collection
USA,Yosemite National Park (1984),"Yosemite National Park vividly illustrates the effects of glacial erosion of granitic bedrock, creating geologic features that are unique in the world. These geologic features provide a scenic backdrop for mountain meadows and giant sequoia groves, resulting in a diverse landscape of exceptional natural and scenic beauty.","N37 44 46,         W119 35 48","37.746111, -119.596667 ",http://whc.unesco.org/en/list/308,USA26.jpg,Yosemite National Park (United States of America) © Evergreen
USA,Papah?naumoku?kea (2010),"Papah?naumoku?kea is the name given to a vast and isolated linear cluster of small, low lying islands and atolls, with their surrounding ocean, extending some 1,931 kilometres to the north west of the main Hawaiian Archipelago, located in the north-central Pacific Ocean. The geomorphological history and isolation of the archipelago have led to the development of an extraordinary range of habitats and features, including an extremely high degree of endemism.","N25 20 56.652 , W170 8 44.952","25.34907,     -170.14582",http://whc.unesco.org/en/list/1326,USA27.jpg,Nesting Great Frigatebirds. Papah?naumoku?kea (United States of America) © Sue Watt
UK,Blaenavon Industrial Landscape (2000),"The area around Blaenavon is evidence of the pre-eminence of South Wales as the world's major producer of iron and coal in the 19th century. All the necessary elements can still be seen - coal and ore mines, quarries, a primitive railway system, furnaces, workers' homes, and the social infrastructure of their community.","N51 46 35, W3 5 17","51.776389, -3.088056",http://whc.unesco.org/en/list/984,UK1.jpg,© ejbaurdo
UK,Blenheim Palace (1987),"Blenheim Palace, near Oxford, stands in a romantic park created by the famous landscape gardener 'Capability' Brown. It was presented by the English nation to John Churchill, first Duke of Marlborough, in recognition of his victory in 1704 over French and Bavarian troops. Built between 1705 and 1722 and characterized by an eclectic style and a return to national roots, it is a perfect example of an 18th-century princely dwelling.","N51 50 31, W1 21 41","51.841944, -1.361389",http://whc.unesco.org/en/list/425,UK2.jpg,© Vincent Ko Hon Chiu
UK,"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church (1988)","Canterbury, in Kent, has been the seat of the spiritual head of the Church of England for nearly five centuries. Canterbury's other important monuments are the modest Church of St Martin, the oldest church in England; the ruins of the Abbey of St Augustine, a reminder of the saint's evangelizing role in the Heptarchy from 597; and Christ Church Cathedral, a breathtaking mixture of Romanesque and Perpendicular Gothic, where Archbishop Thomas Becket was murdered in 1170.","N51 16 48, E1 4 60","51.28, 1.083333",http://whc.unesco.org/en/list/496,UK3.jpg,© Vincent Ko Hon Chiu
UK,Castles and Town Walls of King Edward in Gwynedd (1986),"The castles of Beaumaris and Harlech (largely the work of the greatest military engineer of the time, James of St George) and the fortified complexes of Caernarfon and Conwy are located in the former principality of Gwynedd, in north Wales. These extremely well-preserved monuments are examples of the colonization and defence works carried out throughout the reign of Edward I (1272–1307) and the military architecture of the time.","N 53 8 23,              W 4 16 37","53.139722, -4.276944",http://whc.unesco.org/en/list/374,UK4.jpg,© Vincent Ko Hon Chiu
UK,City of Bath (1987),"Founded by the Romans as a thermal spa, Bath became an important centre of the wool industry in the Middle Ages. In the 18th century, under George III, it developed into an elegant town with neoclassical Palladian buildings, which blend harmoniously with the Roman baths.","N 51 22 53,            W 2 21 31","51.381389, -2.358611",http://whc.unesco.org/en/list/428,UK5.jpg,© Bath Tourism Plus
UK,Cornwall and West Devon Mining Landscape (2006),Much of the landscape of Cornwall and West Devon was transformed in the 18th and early 19th centuries as a result of the rapid growth of pioneering copper and tin mining.Cornwall and West Devon were the heartland from which mining technology rapidly spread.,"N 50 8 10,             W 5 23 1","50.136111,    -5.383611",http://whc.unesco.org/en/list/1215,UK6.jpg,non © UNESCO
UK,Derwent Valley Mills (2001),"The Derwent Valley in central England contains a series of 18th- and 19th- century cotton mills and an industrial landscape of high historical and technological interest. The modern factory owes its origins to the mills at Cromford, where Richard Arkwright's inventions were first put into industrial-scale production. The workers' housing associated with this and the other mills remains intact and illustrate the socio-economic development of the area.","N 53 1 44,              W 1 29 17","53.028889, -1.488056",http://whc.unesco.org/en/list/1030/,UK7.jpg,non © UNESCO
UK,Durham Castle and Cathedral (1986),"Durham Cathedral was built in the late 11th and early 12th centuries to house the relics of St Cuthbert (evangelizer of Northumbria) and the Venerable Bede. It attests to the importance of the early Benedictine monastic community and is the largest and finest example of Norman architecture in England. The innovative audacity of its vaulting foreshadowed Gothic architecture. Behind the cathedral stands the castle, an ancient Norman fortress which was the residence of the prince-bishops of Durham.","N 54 46 29,           W 1 34 34","54.774722, -1.576111",http://whc.unesco.org/en/list/370,UK8.jpg,© Valerio Li Vigni
UK,Frontiers of the Roman Empire (1987),The ‘Roman Limes’ represents the border line of the Roman Empire at its greatest extent in the 2nd century AD.The 118-km-long Hadrian’s Wall (UK) was built on the orders of the Emperor Hadrian c. AD 122 at the northernmost limits of the Roman province of Britannia.,"N 54 59 33.4,        W 2 36 3.6","54.992611,  -2.601",http://whc.unesco.org/en/list/430,UK9.jpg,© Judith Herrmann
UK,Gorham's Cave Complex (2016),"The steep limestone cliffs on the eastern side of the Rock of Gibraltar contain four caves with archaeological and paleontological deposits that provide evidence of Neanderthal occupation over a span of more than 100,000 years. This exceptional testimony to the cultural traditions of the Neanderthals is seen notably in evidence of the hunting of birds and marine animals for food, the use of feathers for ornamentation and the presence of abstract rock engravings.","N 36 7 21.61,        W 5 20 31.42","36.122669, -5.342061",http://whc.unesco.org/en/list/1500,UK10.jpg,"© Clive Finlayson, Gibraltar Museum"
UK,Heart of Neolithic Orkney (1999),"The group of Neolithic monuments on Orkney consists of a large chambered tomb (Maes Howe), two ceremonial stone circles (the Stones of Stenness and the Ring of Brodgar) and a settlement (Skara Brae), together with a number of unexcavated burial, ceremonial and settlement sites. The group constitutes a major prehistoric cultural landscape which gives a graphic depiction of life in this remote archipelago in the far north of Scotland some 5,000 years ago.","N 58 59 45.8,         W 3 11 19.2","58.996056, -3.188667",http://whc.unesco.org/en/list/514,UK11.jpg,© Sacred sites
UK,"Historic Town of St George and Related Fortifications, Bermuda (2000)","The Town of St George, founded in 1612, is an outstanding example of the earliest English urban settlement in the New World. Its associated fortifications graphically illustrate the development of English military engineering from the 17th to the 20th century, being adapted to take account of the development of artillery over this period.","N 32 22 46,           W 64 40 40","32.379444,64.677778",http://whc.unesco.org/en/list/983,UK12.jpg,© dbking
UK,Ironbridge Gorge (1986),"Ironbridge is known throughout the world as the symbol of the Industrial Revolution. It contains all the elements of progress that contributed to the rapid development of this industrial region in the 18th century, from the mines themselves to the railway lines. The bridge at Ironbridge, the world's first bridge constructed of iron, had a considerable influence on developments in the fields of technology and architecture.","N 52 37 35,           W 2 28 22","52.626389,2.472778",http://whc.unesco.org/en/list/371,UK13.jpg,© Vincent Ko Hon Chiu
UK,Liverpool – Maritime Mercantile City (2004),"Six areas in the historic centre and docklands of the maritime mercantile City of Liverpool bear witness to the development of one of the world’s major trading centres in the 18th and 19th centuries. Liverpool played an important role in the growth of the British Empire and became the major port for the mass movement of people. The listed sites feature a great number of significant commercial, civic and public buildings, including St George’s Plateau.","N 53 24 24,            W 2 59 40","53.406667,2.994444",http://whc.unesco.org/en/list/1150,UK14.jpg,© OUR PLACE The World
UK,Maritime Greenwich (1997),"The ensemble of buildings at Greenwich, an outlying district of London, and the park in which they are set, symbolize English artistic and scientific endeavour in the 17th and 18th centuries. The Queen's House (by Inigo Jones) was the first Palladian building in England, while the complex that was until recently the Royal Naval College was designed by Christopher Wren. The park, laid out on the basis of an original design by André Le Nôtre, contains the Old Royal Observatory, the work of Wren and the scientist Robert Hooke.","N 51 28 57.2766,  W 0 0 27.5724","51.482577,0.007659",http://whc.unesco.org/en/list/795,UK15.jpg,© Vincent Ko Hon Chiu
UK,New Lanark (2001),"New Lanark is a small 18th- century village set in a sublime Scottish landscape where the philanthropist and Utopian idealist Robert Owen moulded a model industrial community in the early 19th century. The imposing cotton mill buildings, the spacious and well-designed workers' housing, and the dignified educational institute and school still testify to Owen's humanism.","N 55 39 48,            W 3 46 59","55.663333,3.783056",http://whc.unesco.org/en/list/429,UK16.jpg,New Lanark © RCAHMS
UK,Old and New Towns of Edinburgh (1995),"Edinburgh has been the Scottish capital since the 15th century. It has two distinct areas: the Old Town, dominated by a medieval fortress; and the neoclassical New Town, whose development from the 18th century onwards had a far-reaching influence on European urban planning. The harmonious juxtaposition of these two contrasting historic areas, each with many important buildings, is what gives the city its unique character.","N 55 57 0,             W 3 13 0","55.95,    -3.216667",http://whc.unesco.org/en/list/728,UK17.jpg,Old and New Towns of Edinburgh (United Kingdom of Great Britain and Northern Ireland) © Valerio Li Vigni
UK,Palace of Westminster and Westminster Abbey including Saint Margaret’s Church (1987),"Westminster Palace, rebuilt from the year 1840 on the site of important medieval remains, is a fine example of neo-Gothic architecture. The site – which also comprises the small medieval Church of Saint Margaret, built in Perpendicular Gothic style, and Westminster Abbey, where all the sovereigns since the 11th century have been crowned – is of great historic and symbolic significance.","N51 29 59.3592,   W0 7 36.0978","51.499822, -0.126694",http://whc.unesco.org/en/list/426,UK18.jpg,Palace of Westminster and Westminster Abbey including Saint Margaret’s Church (United Kingdom of Great Britain and Northern Ireland) © Tim Schnarr
UK,Pontcysyllte Aqueduct and Canal (2009),"Situated in north-eastern Wales, the 18 kilometre long Pontcysyllte Aqueduct and Canal is a feat of civil engineering of the Industrial Revolution, completed in the early years of the 19th century.The property is inscribed as a masterpiece of creative genius, and as a remarkable synthesis of expertise already acquired in Europe. It is also recognized as an innovative ensemble that inspired many projects all over the world.","N 52 58 13,           W 3 5 16","52.970278, -3.087778",http://whc.unesco.org/en/list/1303,UK19.jpg,Pontcysyllte Aqueduct and Canal © Crown Copyright
UK,"Royal Botanic Gardens, Kew (2003)","This historic landscape garden features elements that illustrate significant periods of the art of gardens from the 18th to the 20th centuries. The gardens house botanic collections (conserved plants, living plants and documents) that have been considerably enriched through the centuries. Since their creation in 1759, the gardens have made a significant and uninterrupted contribution to the study of plant diversity and economic botany.","N 51 28 55,            E 0 17 38.5","51.481944,      0.294028",http://whc.unesco.org/en/list/1084,UK20.jpg,"Royal Botanic Gardens, Kew (United Kingdom of Great Britain and Northern Ireland) © OUR PLACE The World Heritage Collection"
UK,Saltaire (2001),"Saltaire, West Yorkshire, is a complete and well-preserved industrial village of the second half of the 19th century. Its textile mills, public buildings and workers' housing are built in a harmonious style of high architectural standards and the urban plan survives intact, giving a vivid impression of Victorian philanthropic paternalism.","N 53 50 21,           W 1 47 18","53.839167,   -1.788333",http://whc.unesco.org/en/list/1028,UK21.jpg,Saltaire © UNESCO
UK,"Stonehenge, Avebury and Associated Sites (1986)","Stonehenge and Avebury, in Wiltshire, are among the most famous groups of megaliths in the world. The two sanctuaries consist of circles of menhirs arranged in a pattern whose astronomical significance is still being explored. These holy places and the nearby Neolithic sites are an incomparable testimony to prehistoric times.","N 51 10 44,             W 1 49 31","51.178889,  -1.825278",http://whc.unesco.org/en/list/373,UK22.jpg,"Stonehenge, Avebury and Associated Sites (United Kingdom of Great Britain and Northern Ireland) © UNESCO"
UK,Studley Royal Park including the Ruins of Fountains Abbey (1986),"A striking landscape was created around the ruins of the Cistercian Fountains Abbey and Fountains Hall Castle, in Yorkshire. The 18th-century landscaping, gardens and canal, the 19th-century plantations and vistas, and the neo-Gothic castle of Studley Royal Park, make this an outstanding site.","N 54 6 58,             W 1 34 23","54.116111,    -1.573056",http://whc.unesco.org/en/list/372,UK23.jpg,Studley Royal Park including the Ruins of Fountains Abbey (United Kingdom of Great Britain and Northern Ireland) © Valerio Li Vigni
UK,The Forth Bridge (2015),"This railway bridge, crossing the Forth estuary in Scotland, had the world’s longest spans (541 m) when it opened in 1890. It remains one of the greatest cantilever trussed bridges and continues to carry passengers and freight. Innovative in style, materials and scale, the Forth Bridge marks an important milestone in bridge design and construction during the period when railways came to dominate long-distance land travel.","N 56 0 4,               W 3 23 20","56.001111,  -3.388889",http://whc.unesco.org/en/list/1485,UK24.jpg,Forth Bridge from South Queensferry © Historic Scotland
UK,Tower of London (1988),"The massive White Tower is a typical example of Norman military architecture, whose influence was felt throughout the kingdom. It was built on the Thames by William the Conqueror to protect London and assert his power. The Tower of London – an imposing fortress with many layers of history, which has become one of the symbols of royalty – was built around the White Tower.","N 51 30 29.2026,   W 0 4 33.4164","51.508112, -0.075949",http://whc.unesco.org/en/list/488,UK25.jpg,Tower of London (United Kingdom of Great Britain and Northern Ireland) © OUR PLACE The World Heritage Collection
UK,Dorset and East Devon Coast (2001),"The cliff exposures along the Dorset and East Devon coast provide an almost continuous sequence of rock formations spanning the Mesozoic Era, or some 185 million years of the earth's history. The area's important fossil sites and classic coastal geomorphologic features have contributed to the study of earth sciences for over 300 years.","N 50 42 20,           W 2 59 23.6","50.705556, -2.989889",http://whc.unesco.org/en/list/1029,UK26.jpg,Dorset and East Devon Coast (United Kingdom of Great Britain and Northern Ireland) © UNESCO
UK,Giant's Causeway and Causeway Coast (1986),"The Giant's Causeway lies at the foot of the basalt cliffs along the sea coast on the edge of the Antrim plateau in Northern Ireland. It is made up of some 40,000 massive black basalt columns sticking out of the sea.Geological studies of these formations over the last 300 years have greatly contributed to the development of the earth sciences, and show that this striking landscape was caused by volcanic activity during the Tertiary, some 50–60 million years ago.","N 55 15 0,              W 6 29 7","55.25,         -6.485278",http://whc.unesco.org/en/list/369,UK27.jpg,Giant's Causeway and Causeway Coast © Stefano Berti
UK,Gough and Inaccessible Islands (1995),"The site, located in the south Atlantic, is one of the least-disrupted island and marine ecosystems in the cool temperate zone. The spectacular cliffs of Gough and Inaccessible Islands, towering above the ocean, are free of introduced mammals and home to one of the world’s largest colonies of sea birds.","S 40 19 29,           W 9 55 43","-40.324722,    -9.928611",http://whc.unesco.org/en/list/740,UK28.jpg,Gough and Inaccessible Islands (United Kingdom of Great Britain and Northern Ireland) © UNESCO
UK,Henderson Island (1988),"Henderson Island, which lies in the eastern South Pacific, is one of the few atolls in the world whose ecology has been practically untouched by a human presence. Its isolated location provides the ideal context for studying the dynamics of insular evolution and natural selection. It is particularly notable for the 10 plants and four land birds that are endemic to the island.","S 24 22 0,             W 128 19 60","-24.366667,   -128.333333",http://whc.unesco.org/en/list/487,UK29.jpg,Henderson Island (United Kingdom of Great Britain and Northern Ireland) © UNESCO
UK,St Kilda (1986),"It has some of the highest cliffs in Europe, which have large colonies of rare and endangered species of birds, especially puffins and gannets. The archipelago, uninhabited since 1930, bears the evidence of more than 2,000 years of human occupation in the extreme conditions prevalent in the Hebrides. They feature the vulnerable remains of a subsistence economy based on the products of birds, agriculture and sheep farming.","N 57 49 2,             W 8 34 36","57.817222,   -8.576667",http://whc.unesco.org/en/list/387,UK30.jpg,"St Kilda, United Kingdom © Vincent Ko Hon Chiu"
UK,Blaenavon Industrial Landscape (2000),"The area around Blaenavon is evidence of the pre-eminence of South Wales as the world's major producer of iron and coal in the 19th century. All the necessary elements can still be seen - coal and ore mines, quarries, a primitive railway system, furnaces, workers' homes, and the social infrastructure of their community.","N51 46 35, W3 5 17","51.776389, -3.088056",http://whc.unesco.org/en/list/984,UK1.jpg,© ejbaurdo
UK,Blenheim Palace (1987),"Blenheim Palace, near Oxford, stands in a romantic park created by the famous landscape gardener 'Capability' Brown. It was presented by the English nation to John Churchill, first Duke of Marlborough, in recognition of his victory in 1704 over French and Bavarian troops. Built between 1705 and 1722 and characterized by an eclectic style and a return to national roots, it is a perfect example of an 18th-century princely dwelling.","N51 50 31, W1 21 41","51.841944, -1.361389",http://whc.unesco.org/en/list/425,UK2.jpg,© Vincent Ko Hon Chiu
UK,"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church (1988)","Canterbury, in Kent, has been the seat of the spiritual head of the Church of England for nearly five centuries. Canterbury's other important monuments are the modest Church of St Martin, the oldest church in England; the ruins of the Abbey of St Augustine, a reminder of the saint's evangelizing role in the Heptarchy from 597; and Christ Church Cathedral, a breathtaking mixture of Romanesque and Perpendicular Gothic, where Archbishop Thomas Becket was murdered in 1170.","N51 16 48, E1 4 60","51.28, 1.083333",http://whc.unesco.org/en/list/496,UK3.jpg,© Vincent Ko Hon Chiu
UK,Castles and Town Walls of King Edward in Gwynedd (1986),"The castles of Beaumaris and Harlech (largely the work of the greatest military engineer of the time, James of St George) and the fortified complexes of Caernarfon and Conwy are located in the former principality of Gwynedd, in north Wales. These extremely well-preserved monuments are examples of the colonization and defence works carried out throughout the reign of Edward I (1272–1307) and the military architecture of the time.","N 53 8 23,              W 4 16 37","53.139722, -4.276944",http://whc.unesco.org/en/list/374,UK4.jpg,© Vincent Ko Hon Chiu
UK,City of Bath (1987),"Founded by the Romans as a thermal spa, Bath became an important centre of the wool industry in the Middle Ages. In the 18th century, under George III, it developed into an elegant town with neoclassical Palladian buildings, which blend harmoniously with the Roman baths.","N 51 22 53,            W 2 21 31","51.381389, -2.358611",http://whc.unesco.org/en/list/428,UK5.jpg,© Bath Tourism Plus
